text,label,type,text_clean,label_id
Lo an vao link la so mat tien alo ad oi,FRAUD_REPORT,aug_2,Lo an vao link la so mat tien alo ad oi,4
"card bị nuốt, t cần hỗ trợ ngay",CARD_ISSUE,aug_2,"card bị nuốt, t cần hỗ trợ ngay",0
"card bị ngỏm, ko giao dịch dc",TRANSACTION,aug_2,"card bị ngỏm, ko giao dịch dc",2
"Huhu, card atm bị k dc rút xèng",OTHERS,aug_2,"Huhu, card atm bị k dc rút xèng",5
"The cua to bi loi, ko dc tk",OTHERS,aug_2,"The cua to bi loi, ko dc tk",5
"Thẻ chip bị hỏng, ko dc sử dụng, alo ad",CARD_ISSUE,seed,"Thẻ chip bị hỏng, ko dc sử dụng, alo ad",0
Vay tin chap qua luong can giay to gi?,LOAN_SAVING,aug_1,Vay tin chap qua luong can giay to gi?,3
"Tk bị lỗi, ngỏm hết lúa alo ad ơi giúp vs",FRAUD_REPORT,aug_1,"Tk bị lỗi, ngỏm hết lúa alo ad ơi giúp vs",4
"Sổ tiết kiệm online bị hư, ko rút dc, vs ad",LOAN_SAVING,seed,"Sổ tiết kiệm online bị hư, ko rút dc, vs ad",3
"card bị trầy xước, sao kê lương dc k",LOAN_SAVING,aug_2,"card bị trầy xước, sao kê lương dc k",3
Ty gia đo la hom nay len xuong the?,OTHERS,aug_2,Ty gia đo la hom nay len xuong the?,5
"Thẻ bị ngỏm, cần đổi thẻ mới gấp lắm",OTHERS,seed,"Thẻ bị ngỏm, cần đổi thẻ mới gấp lắm",5
Thẻ atm của em bị lỗi,CARD_ISSUE,seed,Thẻ atm của em bị lỗi,0
"Thẻ bị hư hỏng, đổi mới dc ko ad",CARD_ISSUE,seed,"Thẻ bị hư hỏng, đổi mới dc ko ad",0
Gửi 100 triệu thì dc bao nhiêu lãi một năm?,LOAN_SAVING,aug_1,Gửi 100 triệu thì dc bao nhiêu lãi một năm?,3
"Bực quá, chuyển tiền ko đúng tk",TRANSACTION,seed,"Bực quá, chuyển tiền ko đúng tk",2
"Gấp lắm, chưa nhận card mới",CARD_ISSUE,aug_1,"Gấp lắm, chưa nhận card mới",0
Cần tất toán sổ tiết kiệm online nhưng k có thông tin,LOAN_SAVING,seed,Cần tất toán sổ tiết kiệm online nhưng k có thông tin,3
Bi mat the can ho tro khoa the gap,CARD_ISSUE,aug_1,Bi mat the can ho tro khoa the gap,0
"Mo app ngan hang nhung quen tk, alo ad",APP_LOGIN,aug_2,"Mo app ngan hang nhung quen tk, alo ad",1
"card tín dụng bị lộ thông tin, cần hỗ trợ để hủy card",FRAUD_REPORT,aug_2,"card tín dụng bị lộ thông tin, cần hỗ trợ để hủy card",4
"Chuyển lúa cho người thân, họ bảo chưa nhận dc, cần giúp",TRANSACTION,aug_2,"Chuyển lúa cho người thân, họ bảo chưa nhận dc, cần giúp",2
Hỗ trợ vay tín chấp qua lương cho doanh nghiệp dc ko?,LOAN_SAVING,seed,Hỗ trợ vay tín chấp qua lương cho doanh nghiệp dc ko?,3
"Tu nhien the ko an, kiem tra giup",TRANSACTION,aug_1,"Tu nhien the ko an, kiem tra giup",2
"Thẻ bị lỗi kỹ thuật, cần giúp",CARD_ISSUE,seed,"Thẻ bị lỗi kỹ thuật, cần giúp",0
"Goi đien toan quang cao bao hiem, buc qua",OTHERS,aug_1,"Goi đien toan quang cao bao hiem, buc qua",5
Vay tín chấp qua lương cần giấy tờ gì?,LOAN_SAVING,seed,Vay tín chấp qua lương cần giấy tờ gì?,3
"Tk tiết kiệm của tui bị lỗi, muốn chuyển tiền nhưng ko dc",LOAN_SAVING,seed,"Tk tiết kiệm của tui bị lỗi, muốn chuyển tiền nhưng ko dc",3
Link gia mao lam sao biet dc,FRAUD_REPORT,aug_2,Link gia mao lam sao biet dc,4
"Hư hết rồi, bị lừa đảo mất tiền bực quá",FRAUD_REPORT,seed,"Hư hết rồi, bị lừa đảo mất tiền bực quá",4
"Toang qua, khong biet gio lam viec cua chi nhanh",OTHERS,aug_1,"Toang qua, khong biet gio lam viec cua chi nhanh",5
"Huhu, tk bị hack rồi, có người giả danh công an gọi điện yêu cầu gửi mã OTP",FRAUD_REPORT,seed,"Huhu, tk bị hack rồi, có người giả danh công an gọi điện yêu cầu gửi mã OTP",4
"Gấp lắm, card bị lỏ cần thay thế",CARD_ISSUE,aug_1,"Gấp lắm, card bị lỏ cần thay thế",0
"card bị lỗi, ko thực hiện dc giao dịch",CARD_ISSUE,aug_1,"card bị lỗi, ko thực hiện dc giao dịch",0
"Cai app ngan hang no hu, ko gui ma otp đc",APP_LOGIN,aug_1,"Cai app ngan hang no hu, ko gui ma otp đc",1
"Alo ad ơi, chuyển tiền bị chậm",TRANSACTION,seed,"Alo ad ơi, chuyển tiền bị chậm",2
"Bất ngờ chuyển xèng xong, người nhận nó k dc tiền, toang vậy",TRANSACTION,aug_1,"Bất ngờ chuyển xèng xong, người nhận nó k dc tiền, toang vậy",2
"Mã PIN quên, cần hỗ trợ gấp",CARD_ISSUE,seed,"Mã PIN quên, cần hỗ trợ gấp",0
"Ngỏm quá, app ngân hàng bị hư",APP_LOGIN,seed,"Ngỏm quá, app ngân hàng bị hư",1
"Sao ke luong 3 thang, lam the nao đe dc",LOAN_SAVING,aug_2,"Sao ke luong 3 thang, lam the nao đe dc",3
"Gấp lắm, cần chuyển tiền ngay",TRANSACTION,seed,"Gấp lắm, cần chuyển tiền ngay",2
"Cái thẻ nó lỗi, ko ăn tiền đâu",CARD_ISSUE,seed,"Cái thẻ nó lỗi, ko ăn tiền đâu",0
"Đi rút tiền card bị ngọm luôn, toang cả ngày",CARD_ISSUE,aug_2,"Đi rút tiền card bị ngọm luôn, toang cả ngày",0
"Mã OTP ngỏm quá, làm j đc",APP_LOGIN,seed,"Mã OTP ngỏm quá, làm j đc",1
"Toang hết, chuyển tiền cho người yêu chưa vào",TRANSACTION,seed,"Toang hết, chuyển tiền cho người yêu chưa vào",2
"Thẻ tk bị lỗi, sợ mất tiền, vì nhấn link lạ",FRAUD_REPORT,seed,"Thẻ tk bị lỗi, sợ mất tiền, vì nhấn link lạ",4
"The atm k dc, loi rut tien",CARD_ISSUE,aug_2,"The atm k dc, loi rut tien",0
card bị hư hỏng hong sử dụng dc,CARD_ISSUE,aug_2,card bị hư hỏng hong sử dụng dc,0
"The cua minh bi loi chip, vs ho tro nhe",CARD_ISSUE,aug_2,"The cua minh bi loi chip, vs ho tro nhe",0
"Phí giao dịch cao quá, bực quá",TRANSACTION,seed,"Phí giao dịch cao quá, bực quá",2
