text,label,type
"Thẻ chưa về cơ à, gửi hàng 느 lắm huhu",CARD_ISSUE,seed
"Đổi thẻ mới bị lỗi, ngỏm quá không vào dc",CARD_ISSUE,seed
"Thẻ cứng chưa nhận đc, bực quá ad ơi",CARD_ISSUE,seed
"Thẻ bị hư, gửi lại vs nhanh lên nhé",CARD_ISSUE,seed
"Cái thẻ nó toang rồi, k dc quẹt, alo hỗ trợ",CARD_ISSUE,seed
"Thẻ mới gửi đến nhưng lỗi, k ăn thẻ",CARD_ISSUE,seed
"Thẻ không về, tk chưa nhận dc, gim giúp",CARD_ISSUE,seed
"Chưa nhận thẻ cứng, cần gấp lắm ơi",CARD_ISSUE,seed
"Thẻ bị hỏng, gửi lại cho tớ nha ad",CARD_ISSUE,seed
"Thẻ chưa đến tay, bực quá không biết làm sao",CARD_ISSUE,seed
"Thẻ bị lỗi, ko vào thẻ, cần hỗ trợ gấp",CARD_ISSUE,seed
"Thẻ chưa về, add mình cần làm j để nhận thẻ",CARD_ISSUE,seed
"Thẻ bị hư hỏng, gửi lại cho mình nhé",CARD_ISSUE,seed
"Thẻ ko dc, lỗi chip, cần đổi thẻ mới",CARD_ISSUE,seed
"Thẻ chưa nhận đc, tớ cần thẻ gấp lắm",CARD_ISSUE,seed
"Thẻ bị lỗi, k dc sử dụng, alo hỗ trợ",CARD_ISSUE,seed
"Thẻ mới gửi đến nhưng bị lỗi, đổi lại ạ",CARD_ISSUE,seed
"Thẻ chưa về, bực quá không biết làm gì",CARD_ISSUE,seed
"Thẻ bị hỏng, cần hỗ trợ để đổi thẻ mới",CARD_ISSUE,seed
"Thẻ ko vào, lỗi thẻ, cần hỗ trợ ngay",CARD_ISSUE,seed
Thẻ bị mất cần khóa gấp lul,CARD_ISSUE,seed
"Cái thẻ tk của tớ bị hư, làm sao giờ",CARD_ISSUE,seed
"Alo ad, thẻ atm bị k dc sử dụng, huhu",CARD_ISSUE,seed
"Thẻ bị ngỏm, k quẹt dc, bực quá",CARD_ISSUE,seed
Làm sao cái thẻ nó bị toang thế,CARD_ISSUE,seed
"Thẻ của tớ bị lỗi, cần thay thế gấp lắm",CARD_ISSUE,seed
Ko biết thẻ bị sao mà k ăn đâu,CARD_ISSUE,seed
"Thẻ của tớ dc tk rồi, cần khóa ngay",CARD_ISSUE,seed
"Cần khóa thẻ atm gấp, bị mất rồi",CARD_ISSUE,seed
"Thẻ tk bị hư hỏng, ko sử dụng dc",CARD_ISSUE,seed
"Thẻ bị k dc, cần hỗ trợ ngay",CARD_ISSUE,seed
"Alo, thẻ bị lỗi, cần thay thế nhanh",CARD_ISSUE,seed
"Thẻ của tớ bị mất, cần khóa gấp lắm ad ơi",CARD_ISSUE,seed
"Thẻ tk bị bong tróc, k dc sử dụng",CARD_ISSUE,seed
"Thẻ của tớ bị k ăn, cần hỗ trợ vs",CARD_ISSUE,seed
"Thẻ bị hư, cần thay thế mới gấp",CARD_ISSUE,seed
"Thẻ atm của tớ bị lỗi, cần khóa ngay",CARD_ISSUE,seed
"Thẻ tk bị mất, cần khóa gấp, add ơi",CARD_ISSUE,seed
"Thẻ bị k dc, cần hỗ trợ nhanh",CARD_ISSUE,seed
"Thẻ của tớ bị toang, cần thay thế gấp lắm",CARD_ISSUE,seed
Thẻ bị mất cần khóa gấp lắm ad ơi,CARD_ISSUE,seed
Chip thẻ bị hư ko quẹt dc,CARD_ISSUE,seed
Mất thẻ cần khóa ngay vs,CARD_ISSUE,seed
Thẻ bị lỗi cần hỗ trợ gấp,CARD_ISSUE,seed
Thẻ atm bị toang cần làm lại,CARD_ISSUE,seed
Thẻ ko ăn cần đổi thẻ mới,CARD_ISSUE,seed
Thẻ bị ngỏm cần giúp đỡ gấp,CARD_ISSUE,seed
Lỗi thẻ cần giúp hỗ trợ gấp lắm,CARD_ISSUE,seed
Thẻ bị k dc sử dụng cần khóa,CARD_ISSUE,seed
Mất thẻ cần hỗ trợ ngay alo,CARD_ISSUE,seed
Thẻ bị hỏng cần làm lại gấp,CARD_ISSUE,seed
Thẻ ko quẹt dc cần hỗ trợ,CARD_ISSUE,seed
Thẻ bị hư hỏng cần đổi mới,CARD_ISSUE,seed
Thẻ bị mất cần khóa ngay huhu,CARD_ISSUE,seed
Thẻ atm lỗi cần hỗ trợ gấp,CARD_ISSUE,seed
Thẻ bị lỗi cần giúp đỡ bực quá,CARD_ISSUE,seed
Thẻ cần khóa gấp lắm add ơi,CARD_ISSUE,seed
Thẻ bị toang cần làm lại gấp,CARD_ISSUE,seed
Thẻ ko dc sử dụng cần hỗ trợ,CARD_ISSUE,seed
Thẻ bị ngỏm cần khóa ngay,CARD_ISSUE,seed
Thẻ chip bị trầy xước tùm lum ko quẹt dc ad ơi,CARD_ISSUE,seed
"Tự nhiên cái chip thẻ nó bong ra rồi, đổi thẻ mới sao?",CARD_ISSUE,seed
